TAK: -1.15%
TECH: 0.78%
TEM: 4.59%*
TEVA: 3.56%*+
TFX: 20财3.24%+
THC: 0.55%+
TMDX: 5.87%++
TMO: 1.49%
UHS: 0.21%+
UNH: 2.06%
UTHR: 19财2.13%++
VEEV: -1.56%--
VRNA: -0.42%
VRTX: 2.09%+
VTRS: 0.64%*+
WAT: 0.45%+
WAY: 18财-2.77%-
WBA: -2.44%*
WST: -4.03%-
XRAY: 0.74%+
ZBH: 1.14%++
ZTS: 0.10%
AAL: -0.50%*
AAON: -0.57%
ACA: 20财-1.92%
ACM: -0.59%
ADT: -0.53%*-
AER: 2.29%++
AGCO: 1.27%++
AIT: -1.18%
AL: 1.15%++
ALK: 1.67%
ALLE: 18财0.55%
AME: 2.44%+
AMTM: -2.35%
AOS: 2.50%
APG: 7.77%
ARMK: -1.10%--
ASR: -0.81%
ATI: -1.19%
ATKR: -2.79%-
AVAV: 2.28%
AWI: -1.26%
AXON: -16.42%
AYI: -0.93%
AZEK: -2.21%
BA: 0.64%*+
BAH: -1.17%
BCO: 1.22%
BE: 1.84%++
BECN: 0.35%
BLD: -0.31%--
BLDR: 20财-2.14%-
BWXT: 0.89%
CAE: -3.03%-
CARR: -0.92%*
CAT: -0.28%
CHRW: -0.90%
CLH: 19财-3.04%--
CMI: 1.83%++
CNH: 1.20%*++
CNI: -0.40%
CNM: -1.91%
CP: -1.25%
CPRT: 20财0.25%+
CR: 0.56%++
CRS: 2.25%++
CSL: -1.22%--
CSWI: -1.57%
CSX: -3.66%*
CTAS: 2.16%
CW: 3.08%+
CWST: 0.74%++
DAL: 1.09%*
DCI: 0.20%+
DE: 1.54%++
DLB: -1.34%
DOV: -0.23%
DRS: 20财0.51%+
DY: 2.91%
EFX: -1.39%--
EME: 0.22%+
EMR: -0.46%
ERJ: 0.38%++
ESAB: 20财-4.97%
ESLT: 1.13%++
ETN: -1.18%
EXPD: 18财-1.49%
EXPO: 0.07%
FAST: 1.02%+
FBIN: -2.00%-
FCN: 20财0.94%+
FDX: -0.22%-
FELE: 18财0.02%+
FERG: -1.89%
FIX: 20财0.32%+
FLR: 18财-0.55%*--
FLS: 18财-6.50%
FSS: 0.71%+
FTAI: 5.51%++
GATX: -0.74%
GD: 0.65%+
GE: 0.20%+
GFL: 0.95%
GGG: 0.03%+
GNRC: -1.01%-
GPN: -0.47%
GTES: 0.90%++
GTLS: -1.35%
GWW: -0.16%--
GXO: -1.77%
HEI: 1.24%
HII: 2.39%++
HON: 1.33%+
HRI: -2.91%-
HUBB: -0.80%
HWM: 1.99%++
HXL: -3.52%
IESC: -8.51%-
IEX: 1.16%++
IR: -1.22%
ITT: 0.16%+
ITW: 0.71%+
J: -0.02%
JBHT: -2.88%
JCI: -0.17%
JOBY: 19财-4.41%*
KBR: -1.04%
KEX: -1.72%
KNX: -2.31%--
KTOS: -0.74%--
LECO: -0.42%
LHX: -0.54%--
LII: 2.38%++
LMT: 1.03%+
LPX: 19财-10.13%
LSTR: -2.64%
LTM: -0.12%--
LUV: 0.67%*
MAS: -0.83%-
MATX: -3.68%
MDU: -0.24%
MIDD: 18财-0.94%
MLI: -0.81%
MMM: 0.81%+
MMS: 0.29%++
MOG-A: 0.34%+
MSA: -0.68%
MSM: 0.32%+
MTZ: -0.31%--
NDSN: 19财-0.82%
NOC: -1.79%
NSC: -3.63%
NVT: -1.61%
OC: -1.96%-
ODFL: -2.00%
OSK: 0.48%+
OTIS: 0.71%+
PAC: 0.17%+
PCAR: 0.63%++
PH: 0.88%
PNR: -0.55%--
POOL: 20财-0.77%-
PWR: 20财1.56%+
R: -1.80%
RBA: 18财8.45%++
RBC: 0.33%++
RELX: -0.73%--
RHI: 1.05%
ROAD: 1.07%+
ROK: -0.60%
RRX: -0.39%-
RSG: 0.49%
RTO: -2.22%
RTX: 1.33%+
RXO: -1.99%
RYAAY: -2.02%
SAIA: -5.66%
SARO: 0.82%+
SITE: -1.69%-
SNA: -0.15%
SNDR: -2.24%
SPXC: -1.41%
STN: 1.39%
STRL: 21财-3.00%-
SWK: 1.44%
SYM: -3.78%
TDG: 3.31%
TFII: 19财0.00%
TKR: -0.26%
TNET: 0.61%
TREX: -0.75%--
TRI: -0.55%--
TT: 2.11%
TTC: 0.24%++
TTEK: -0.03%--
TXT: 0.22%+
UAL: 3.16%*
UHAL: -1.18%
ULS: 20财-1.63%--
UNP: -1.64%
UPS: -0.36%-
URI: -1.53%-
VLTO: -0.22%--
VMI: 18财-2.58%
VRSK: 0.87%
VRT: -1.93%*
WAB: 2.68%+
WCC: -1.47%
WCN: 0.09%
WM: 0.07%++
WMS: -4.62%-
WSO: 18财-3.59%
WTS: 0.13%+
WWD: 0.59%+
XPO: -4.78%-
XYL: -0.18%
ZTO: 1.11%
ZWS: -0.36%
ADC: 0.37%+
AGNC: -0.19%*
AMH: 20财-0.65%
AMT: -0.52%
ARE: -0.49%
AVB: -0.20%--
BEKE: 2.09%*
BRX: -0.69%--
BXP: -1.80%
CBRE: -0.08%
CCI: -0.06%
CIGI: 0.71%
COLD: 20财0.29%
COMP: 28.32%*++
CPT: -0.39%
CSGP: 18财4.97%*++
CTRE: -0.42%--
CUBE: -0.77%
CUZ: -0.07%
DLR: 2.39%+
DOC: -0.41%--
EGP: 0.18%+
ELS: -0.12%--
EPR-PG: -1.44%
EPRT: 0.63%++
EQIX: 0.77%
EQR: -0.20%
ESS: 0.14%+
EXR: -0.76%
FR: -0.22%
FRT: 0.29%
FSV: -0.30%--
GLPI: 20财-0.10%
HR: 19财-1.29%
HST: 19财0.18%*+
INVH: -0.47%
IRM: -1.42%-
IRT: -0.87%
JLL: 19财-0.94%-
KIM: -0.23%--
KRC: -1.76%--
KRG: -0.27%
LAMR: 20财-0.68%
LINE: -1.58%-
MAA: -0.06%
MAC: -1.39%
NLY: 0.65%*++
NNN: 0.05%+
NSA: -0.58%
O: 0.80%+
OHI: -0.36%-
PECO: -1.05%--
PLD: 0.26%+
PSA: 0.14%
REG: 0.78%+
REXR: -0.24%
RHP: 20财-1.11%
RITM: -0.33%-
SBAC: 0.66%+
SLG: -0.24%
SPG: -0.06%
STAG: 0.60%
STWD: 0.30%++
SUI: 18财-0.86%
TRNO: -0.19%
UDR: -1.00%
VICI: 20财0.40%
VTR: 0.28%++
WELL: -0.72%
WPC: 0.05%+
WY: -1.78%
AAPL: 0.16%*
ACIW: -1.01%
ACLS: 0.24%+
ACN: 0.69%
ADBE: -1.53%
ADI: 19财9.74%*++
ADP: 1.06%+
ADSK: 1.15%
AFRM: -5.68%*
AI: -3.18%
AKAM: 20财0.95%
ALAB: -3.61%
ALGM: 3.44%++
ALTR: 20财0.11%++
AMAT: 1.20%*+
AMD: 0.36%*++
AMKR: -0.74%
ANET: 18财-6.43%*
ANSS: 19财-0.54%--
APH: 1.13%*+
APP: -0.37%-
APPF: 1.08%
ARM: -3.72%*
ARW: 0.90%++
ASAN: -6.22%
ASML: 0.08%
ASTS: 0.87%*
ASX: 2.99%*++
AUR: -5.60%*-
AVGO: 0.09%*
AVT: 0.50%++
AZPN: -0.12%
BDC: -0.40%
BILL: -3.46%
BMI: 0.12%+
BOX: -0.51%--
BR: -0.09%--
BSY: -0.55%
CACI: 1.58%+
CCCS: -1.67%
CDNS: 18财-8.78%*
CDW: 1.06%++
CFLT: -4.89%*
CGNX: 1.82%
CHKP: 1.19%
CIEN: -2.90%-
CLBT: -3.10%--
CLS: -0.54%
CLVT: 19财-1.45%*--
COHR: -2.59%
CORZ: -2.99%--
CPAY: -2.18%
CRDO: -4.63%
CRM: -1.35%*
CRUS: 0.18%++
CRWD: -1.15%
CSCO: 0.39%*
CTSH: -0.38%-
CVLT: -1.00%
CWAN: 19财-2.17%
CYBR: -0.14%--
DAY: 0.87%+
DBX: 20财-1.80%
DDOG: -1.36%--
DELL: 0.52%*++
DOCU: -0.70%
DOX: 0.06%++
DSGX: -0.12%--
DT: -1.17%
DUOL: -2.01%
EEFT: -1.17%
ENPH: 1.05%*++
ENTG: 0.50%+
EPAM: 20财-1.07%--
ERIC: -0.51%*
ESTC: -2.96%
EXLS: 1.51%+
FFIV: 0.81%
FI: 0.03%++
FICO: -2.17%--
FIS: -0.36%
FLEX: -0.35%
FN: -0.75%
FOUR: 18财-17.48%*
FRSH: 0.28%+
FSLR: -0.23%
FTNT: 0.27%++
FTV: 1.49%+
G: 0.49%
GDDY: -2.50%--
GDS: 5.49%*++
GEN: -0.43%--
GFS: -0.48%
GIB: -1.21%--
GLOB: -2.40%--
GLW: -0.42%
GRAB: 0.75%*+
GRMN: 19财12.64%++
GTLB: -2.40%
GWRE: -0.97%
HCP: 0.29%
HPE: 0.32%*++
HPQ: 1.40%*++
HUBS: -4.03%--
IBM: 0.48%++
IDCC: -0.00%
INFA: -2.26%
INFY: -0.93%*--
INGM: -0.30%
INTA: -0.14%
INTC: -6.10%*
INTU: 0.39%
IONQ: 0.59%*
IOT: -3.49%*
IT: 0.56%
ITRI: -0.22%
JBL: -0.49%
JKHY: -0.26%
JNPR: -0.33%-
KC: 1.90%
KD: -2.46%
KEYS: 0.23%++
KLAC: 2.18%+
KSPI: -4.95%
KVYO: 19财-0.57%
LDOS: 0.18%
LFUS: 1.18%+
LITE: -3.65%
LOGI: -0.56%-
LRCX: 1.25%*+
LSCC: 2.29%++
LYFT: -4.43%*
MANH: -2.30%-
MCHP: 9.90%*++
MDB: -1.18%
MKSI: 1.28%+
MNDY: -4.27%
MPWR: 0.25%+
MRVL: 3.50%*++
MSFT: 1.25%*+
MSI: 3.08%
MSTR: -4.58%*-
MTSI: -0.62%
MU: -2.28%*
NET: -4.87%*--
NICE: 20财1.16%
NOK: -0.80%*
NOVT: 0.84%+
NOW: -1.04%
NSIT: -0.23%
NTAP: 3.33%++
NTNX: -0.18%
NVDA: -0.12%*
NVMI: 0.00%+
NXPI: 7.31%*++
NXT: 0.66%++
OKTA: -0.06%
OLED: 20财1.10%+
ON: 6.87%*++
ONTO: -1.05%-
ORCL: 0.96%*++
OS: -0.48%-
OTEX: -1.26%--
PANW: -1.48%*
PATH: -3.49%*--
PAYC: 1.22%+
PAYX: 1.11%+
PCOR: -2.09%
PCTY: -2.38%
PEGA: -2.20%
PI: -2.34%
PLTR: -10.08%*
PONY: 0.71%++
PSN: 19财-11.46%*
PSTG: -1.48%
PTC: -0.51%-
QCOM: 0.91%*++
QLYS: -1.18%
QRVO: 1.19%+
QTWO: -1.76%
QXO: -2.32%
RELY: 19财-2.12%-
RMBS: -3.29%
ROP: 0.79%
S: -5.13%*--
SAIC: 0.16%++
SAP: -1.44%
SATS: -0.43%
SHOP: -1.28%*
SITM: -3.75%
SLAB: 1.41%+
SMCI: 7.97%*++
SMTC: 2.27%
SNOW: -3.23%*
SNPS: -4.58%
SNX: -0.46%
SONY: 0.82%++
SOUN: -3.23%*
SPSC: 0.32%
SRAD: 0.00%
SSNC: 0.04%++
ST: 1.11%++
STM: 8.44%*
STX: -0.10%
SWKS: 0.90%+
TDY: 1.04%+
TEAM: -3.72%
TEL: 1.06%+
TENB: 0.56%+
TER: 0.71%++
TOST: 19财-4.61%*
TRMB: 19财0.57%++
TSEM: -1.91%
TSM: -0.88%*-
TTD: -4.10%*--
TWLO: -3.46%
TXN: 5.29%*++
TYL: 0.73%
U: 20财-1.60%*
UBER: -0.40%*
UI: 1.32%
UMC: 1.41%*+
VERX: -3.13%
VNT: 0.17%++
VRNS: -1.52%
VRSN: 0.24%+
WDAY: -1.74%
WDC: -0.74%*
WEX: -2.96%
WIT: -0.27%
WIX: 19财-4.73%
WK: -3.00%
WRD: -15.82%
YMM: -1.49%*
YOU: -3.62%
ZBRA: -1.91%
ZETA: -6.52%*
ZI: -3.24%
ZM: -0.04%
ZS: -1.01%
AEE: -0.45%
AEP: 0.87%++
AES: 1.07%*+
ATO: 0.36%+
AWK: 19财0.54%+
BEP: 1.35%++
BEPC: 1.73%++
BIP: -0.63%
BIPC: -0.28%
CEG: -1.21%
CIG: -1.52%
CMS: 0.88%+
CNP: 20财0.83%*+
CWEN: 1.02%+
D: 0.11%+
DTE: 0.64%++
DUK: 0.81%
EBR: -1.04%
ED: 20财-0.52%
EIX: 2.18%+
ELP: -1.26%-
ES: 1.93%
ETR: 18财1.50%+
EVRG: 0.28%+
EXC: -0.12%*--
FE: 0.07%+
FTS: 0.76%
GEV: 0.52%+
IDA: 20财1.31%+
KEP: 21财-0.27%
LNT: 20财-0.05%
NEE: 0.82%*+
NGG: 1.08%
NI: 0.60%++
NJR: 0.24%+
NRG: 0.45%++
OGE: 19财0.36%+
OKLO: -10.10%*--
ORA: 0.81%++
PAM: -0.32%
PCG: 1.56%*+
PEG: 1.01%+
PNW: 0.57%+
POR: 1.21%+
PPL: 0.56%+
SBS: -1.77%-
SO: 20财0.69%*+
SRE: 0.85%++
SWX: -0.41%
TLN: -0.81%
UGI: -1.03%
VST: 0.04%*++
WEC: 0.46%+
WTRG: -0.39%
XEL: 0.77%
